epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.4212,1.23266,0.6875,1,0.90172,0.0002875,0.0002875,0.0002875
2,50.1451,0.71884,0.925,1,0.29284,0.000529338,0.000529338,0.000529338
3,72.2428,0.41373,0.9625,1,0.12782,0.000711775,0.000711775,0.000711775
4,94.5732,0.23233,0.9625,1,0.16115,0.000834813,0.000834813,0.000834813
5,117.401,0.13616,0.9625,1,0.12346,0.000755,0.000755,0.000755
6,139.628,0.15526,0.975,1,0.14548,0.00063125,0.00063125,0.00063125
7,161.196,0.13956,0.9625,1,0.08129,0.0005075,0.0005075,0.0005075
8,183.176,0.10568,0.95,1,0.0946,0.00038375,0.00038375,0.00038375
9,207.591,0.09715,0.95,1,0.106,0.00026,0.00026,0.00026
10,225.13,0.08181,0.95,1,0.10553,0.00013625,0.00013625,0.00013625
