epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.0802,1.21852,0.6375,1,0.93812,0.0002875,0.0002875,0.0002875
2,44.1079,0.7218,0.8875,1,0.31717,0.000529338,0.000529338,0.000529338
3,61.5524,0.35387,0.95,1,0.30107,0.000711775,0.000711775,0.000711775
4,77.8165,0.19617,0.95,1,0.19104,0.000834813,0.000834813,0.000834813
5,99.7962,0.13472,0.95,1,0.27224,0.000755,0.000755,0.000755
6,121.538,0.11886,0.95,1,0.27193,0.00063125,0.00063125,0.00063125
7,143.83,0.12892,0.95,1,0.37463,0.0005075,0.0005075,0.0005075
8,166.058,0.10009,0.9625,1,0.3629,0.00038375,0.00038375,0.00038375
9,184.758,0.07218,0.9625,1,0.23701,0.00026,0.00026,0.00026
10,206.419,0.09979,0.9625,1,0.20924,0.00013625,0.00013625,0.00013625
